State,County,median_sas_score
Alabama,Autauga County,32.57335
Alabama,Baldwin County,23.5532
Alabama,Barbour County,38.7464
Alabama,Bibb County,10.642850000000001
Alabama,Blount County,7.2758
Alabama,Bullock County,42.6934
Alabama,Butler County,9.1894
Alabama,Calhoun County,24.62355
Alabama,Chambers County,20.0869
Alabama,Cherokee County,4.60835
Alabama,Chilton County,7.250199999999999
Alabama,Choctaw County,39.5948
Alabama,Clarke County,41.5329
Alabama,Clay County,4.4402
Alabama,Cleburne County,4.59515
Alabama,Coffee County,19.00995
Alabama,Colbert County,21.615099999999998
Alabama,Conecuh County,40.2851
Alabama,Coosa County,18.7727
Alabama,Covington County,19.29875
Alabama,Crenshaw County,12.655299999999999
Alabama,Cullman County,2.1102
Alabama,Dale County,21.37595
Alabama,Dallas County,37.4804
Alabama,DeKalb County,7.935650000000001
Alabama,Elmore County,7.640900000000001
Alabama,Escambia County,19.7144
Alabama,Etowah County,23.35085
Alabama,Fayette County,7.935
Alabama,Franklin County,7.8852
Alabama,Geneva County,5.24475
Alabama,Greene County,72.4614
Alabama,Hale County,38.21165
Alabama,Henry County,2.0951500000000003
Alabama,Houston County,20.82115
Alabama,Jackson County,37.5297
Alabama,Jefferson County,24.3352
Alabama,Lamar County,37.6113
Alabama,Lauderdale County,22.369500000000002
Alabama,Lawrence County,7.6071
Alabama,Lee County,24.7352
Alabama,Limestone County,13.44445
Alabama,Lowndes County,55.014649999999996
Alabama,Macon County,45.592200000000005
Alabama,Madison County,23.4759
Alabama,Marengo County,41.1319
Alabama,Marion County,7.06375
Alabama,Marshall County,24.041000000000004
Alabama,Mobile County,23.175200000000004
Alabama,Monroe County,38.5642
Alabama,Montgomery County,23.9922
Alabama,Morgan County,19.760800000000003
Alabama,Perry County,72.7279
Alabama,Pickens County,37.6656
Alabama,Pike County,7.6114
Alabama,Randolph County,22.352200000000003
Alabama,Russell County,37.8431
Alabama,Shelby County,22.901600000000002
Alabama,St. Clair County,8.0037
Alabama,Sumter County,38.8099
Alabama,Talladega County,37.38075
Alabama,Tallapoosa County,37.40045
Alabama,Tuscaloosa County,21.739700000000003
Alabama,Walker County,7.41465
Alabama,Washington County,19.0621
Alabama,Wilcox County,56.56645
Alabama,Winston County,36.6695
Alaska,Aleutians West Census Area,40.21805
Alaska,Anchorage Municipality,23.2059
Alaska,Bethel Census Area,80.405
Alaska,Dillingham Census Area,49.67235
Alaska,Fairbanks North Star Borough,23.0329
Alaska,Hoonah-Angoon Census Area,40.6025
Alaska,Juneau City and Borough,20.0089
Alaska,Kenai Peninsula Borough,19.8672
Alaska,Ketchikan Gateway Borough,4.9984
Alaska,Kodiak Island Borough,24.0352
Alaska,Matanuska-Susitna Borough,6.7454
Alaska,Nome Census Area,41.3146
Alaska,North Slope Borough,30.8727
Alaska,Northwest Arctic Borough,45.15615
Alaska,Prince of Wales-Hyder Census Area,18.54735
Alaska,Sitka City and Borough,25.02405
Alaska,Southeast Fairbanks Census Area,49.07645000000001
Alaska,Valdez-Cordova Census Area,36.542
Alaska,Yukon-Koyukuk Census Area,80.2108
Arizona,Apache County,72.33605
Arizona,Cochise County,39.58765
Arizona,Coconino County,24.30615
Arizona,Gila County,38.7505
Arizona,Graham County,24.4669
Arizona,Greenlee County,8.0263
Arizona,La Paz County,44.20125
Arizona,Maricopa County,21.5172
Arizona,Mohave County,33.0012
Arizona,Navajo County,41.3361
Arizona,Pima County,23.38
Arizona,Pinal County,23.7977
Arizona,Santa Cruz County,41.15405
Arizona,Yavapai County,23.93975
Arizona,Yuma County,21.5796
Arkansas,Arkansas County,21.60765
Arkansas,Ashley County,24.3544
Arkansas,Baxter County,7.484500000000001
Arkansas,Benton County,21.117700000000003
Arkansas,Boone County,19.0849
Arkansas,Bradley County,7.8433
Arkansas,Calhoun County,19.0434
Arkansas,Carroll County,19.9494
Arkansas,Chicot County,55.099450000000004
Arkansas,Clark County,37.5372
Arkansas,Clay County,7.4229
Arkansas,Cleburne County,7.3969
Arkansas,Cleveland County,30.50445
Arkansas,Columbia County,40.7788
Arkansas,Conway County,30.99385
Arkansas,Craighead County,21.1686
Arkansas,Crawford County,24.9151
Arkansas,Crittenden County,23.84465
Arkansas,Cross County,21.64445
Arkansas,Dallas County,19.0687
Arkansas,Desha County,41.5128
Arkansas,Drew County,18.898
Arkansas,Faulkner County,21.6056
Arkansas,Franklin County,38.46060000000001
Arkansas,Fulton County,39.637249999999995
Arkansas,Garland County,30.66665
Arkansas,Grant County,21.9574
Arkansas,Greene County,18.7279
Arkansas,Hempstead County,19.7744
Arkansas,Hot Spring County,24.4254
Arkansas,Howard County,32.3408
Arkansas,Independence County,19.8256
Arkansas,Izard County,5.084249999999999
Arkansas,Jackson County,41.846900000000005
Arkansas,Jefferson County,23.09
Arkansas,Johnson County,45.0306
Arkansas,Lafayette County,54.25725
Arkansas,Lawrence County,29.77395
Arkansas,Lee County,39.4404
Arkansas,Lincoln County,11.12625
Arkansas,Little River County,2.0659
Arkansas,Logan County,13.0404
Arkansas,Lonoke County,5.8035499999999995
Arkansas,Madison County,29.68365
Arkansas,Marion County,38.1883
Arkansas,Miller County,23.515950000000004
Arkansas,Mississippi County,23.01645
Arkansas,Monroe County,19.0222
Arkansas,Montgomery County,40.4742
Arkansas,Nevada County,40.779
Arkansas,Newton County,19.0915
Arkansas,Ouachita County,60.5115
Arkansas,Perry County,18.761
Arkansas,Phillips County,55.2606
Arkansas,Pike County,18.49
Arkansas,Poinsett County,18.3898
Arkansas,Polk County,38.93285
Arkansas,Pope County,22.9886
Arkansas,Prairie County,2.0181
Arkansas,Pulaski County,26.9065
Arkansas,Randolph County,14.11195
Arkansas,Saline County,18.8451
Arkansas,Scott County,41.4419
Arkansas,Searcy County,18.8629
Arkansas,Sebastian County,21.67055
Arkansas,Sevier County,10.871749999999999
Arkansas,Sharp County,24.6221
Arkansas,St. Francis County,54.825399999999995
